Method family,Type of paper,Method description,DOI,Citations,Year,Open source,Language,Repository,,Strengths,Limitations
1. Statistical / geostatistical interpolation,Method,Penalized least squares regression method based on a three-dimensional discrete cosine transform method,10.1175/JTECH-D-15-0056.1,18,2016,No,,,,,
1. Statistical / geostatistical interpolation,Method,Optimal interpolation,10.1029/2007JC004244,56,2008,No,,,,,
1. Statistical / geostatistical interpolation,Method,Discrete Cosine Transform (DCT-PLS) algorithm,10.1109/OCEANSAP.2016.7485427,5,2016,No,,,,,
1. Statistical / geostatistical interpolation,Method,Optimal interpolation,10.1029/2006JC003756,39,2007,No,,,,,
1. Statistical / geostatistical interpolation,Application,Optimal Interpolation (OI) and Unweighted Least Squares (ULS),10.1007/s10236-026-01813-8,0,2026,No,,,,,
1. Statistical / geostatistical interpolation,Method,Spatio-Temporal Kriging,10.1109/JOE.2023.3283593,5,2023,No,,,,,
2. EOF / mode decomposition,Method,Complex Empirical Orthogonal Functions,10.1007/s00024-020-02613-x,12,2020,No,,,,,
2. EOF / mode decomposition,Method,EOF/variational approach,10.1016/j.csr.2011.01.009,28,2011,No,,,,,
2. EOF / mode decomposition,Method,EOF + linear autoregression model to predict the temporal dynamics of the EOF coefficients,10.1007/s10236-012-0553-5,45,2012,No,,,,,
3. Classical machine learning,Method,Self-organizing maps (SOMs),10.5194/os-14-827-2018,27,2018,No,,,,,
3. Classical machine learning,Method,Long short-term memory (LSTM),10.3390/app13127208,6,2023,No,,,,,
4. Deep learning (CNN/autoencoder),Method,Artificial Neural Networks using wind field,10.1155/2016/2605198,8,2016,No,,,,,
4. Deep learning (CNN/autoencoder),Method,Deep learning,10.5220/0011540400003335,??,2022,No,,,,,
4. Deep learning (CNN/autoencoder),Method,Inverse distance weighting / artificial neural network (TOCHECK),10.1080/01431161.2016.1230281,7,2016,No,,,,,
5. GAN-based (generative),Method,"K-means clustering, self organising maps, growing neural gap and a Generative Adversarial Network",10.1109/MetroSea58055.2023.10317163,??,2023,No,,,,,
5. GAN-based (generative),Method,Transport equations to advect and diffuse field data features into missing regions,10.1029/2018JC014254,9,2018,No,,,,,
6. OMA & related,Method,Open-boundary modal analysis (OMA) ,10.1029/1999JC900295,55,2000,No,,,,,
6. OMA & related,Application,Application of OMA in the Ligurian Sea,10.3390/rs16132458,3,2024,No,,,,,
6. OMA & related,Method,Interpolation and filtering of surface current data based on OMA,10.1029/2006JC003984,18,2007,Yes,MATLAB,https://github.com/dmkaplan2000/openMA,,,
6. OMA & related,Application,OMA in Gulf of Eilat,10.1029/2008JC004742,15,2009,No,,,,,
6. OMA & related,Method,OMA Montery Bay,10.1029/2004JC002323,44,2004,No,,,,,
6. OMA & related,Application,OMA application with short-term predictive system,10.1007/s10236-012-0521-0,48,2012,No,,,,,
7. Variational method,Method,2d variational (2dVar) interpolation method,10.1016/j.csr.2009.05.016,45,2009,No,,,,,
7. Variational method,Method,Variational interpolation,10.1007/s10236-020-01432-x,15,2021,Yes,Julia,https://github.com/gher-uliege/DIVAnd_HFRadar.jl,,,
Review / cross-cutting,Review/survey,Best practice for HF radar,10.3389/fmars.2020.00210,61,2020,No,,,,,
