Method family,Type of paper,Method description,DOI,Citations,Year,Open source,Language,Repository,Strengths,Limitations
1. Statistical / geostatistical interpolation,Method,Fast kriging of large data sets with Gaussian Markov random fields,10.1016/j.csda.2007.09.018,64,2007,No,,,,
1. Statistical / geostatistical interpolation,Method,Objective Analysis of Meteorological Fields (Gandin),10.1002/qj.49709239320,25,1966,No,,,,
1. Statistical / geostatistical interpolation,Method,Optimal interpolation (Bretherton),10.1016/0011-7471(76)90001-2,1025,1976,No,,,,
1. Statistical / geostatistical interpolation,Method,Kriging in the hydrosciences,10.1016/0309-1708(78)90039-8,588,1978,No,,,,
1. Statistical / geostatistical interpolation,Method,Reduced Space Optimal Interpolation of Historical Marine Sea Level Pressure,/10.1175/1520-0442(2000)013<2987:RSOIOH>2.0.CO,2,152,3998,No,,,
1. Statistical / geostatistical interpolation,Method,10.1175/1520-0426(2002)019<1357:OIBFDW>2.0.CO,2,10.1029/JC095iC08p13529,5,1990,No,,,
1. Statistical / geostatistical interpolation,Application,Sea Surface Temperature Analyses Using Optimum Interpolation,10.1175/1520-0442(1994)007<0929:IGSSTA>2.0.CO,2,1755,1994,No,,,
1. Statistical / geostatistical interpolation,Method,Convergent weighted-averaging interpolation scheme,10.1175/1520-0450(1964)003<0396:ATFMDI>2.0.CO,2,612,1964,No,,,
1. Statistical / geostatistical interpolation,Application,Delaunay triangulation,10.1016/j.csr.2009.09.006,39,2009,No,,,,
1. Statistical / geostatistical interpolation,Method,Locally weighted regression,10.1080/01621459.1988.10478639,3882,1988,No,,,,
1. Statistical / geostatistical interpolation,Method,Scale-controlled objective analysis,10.1175/1520-0493(1987)115<2479:SCOA>2.0.CO,2,34,1987,No,,,
1. Statistical / geostatistical interpolation,Method,Four-dimensional weighted least squares,10.1175/1520-0426(2002)019<1357:OIBFDW>2.0.CO,2,389,2002,No,,,
1. Statistical / geostatistical interpolation,Method,Optimal Regional Averaging Method with Error Estimates,10.1175/1520-0442(1998)011<2340:AORAMW>2.0.CO,2,18,1998,No,,,
1. Statistical / geostatistical interpolation,Method,Gaussian Process Regression Modelling (GPRM) for climate applications,10.1002/gdj3.70064,1,2026,Yes,Python ,https://github.com/NOCSurfaceProcesses/GloMarGridding,,
1. Statistical / geostatistical interpolation,Method,Empirical multivariate linear regression (MLR) model to estimate the concentration of dissolved inorganic carbon (DIC),10.5194/bg-19-241-2022,13,2022,Yes,R,https://figshare.com/projects/An_Empirical_MLR_for_Estimating_Surface_Layer_DIC_and_a_Comparative_Assessment_to_Other_Gap-filling_Techniques_for_Ocean_Carbon_Time_Series/100349,,
