Method family,Type of paper,Method description,DOI,Citations,Year,Open source,Language,Repository,Strengths,Limitations
1. Statistical / geostatistical interpolation,Method,Spatial statistical data fusion for remote sensing (Fixed Rank Kriging),10.1080/01621459.2012.694717,176,2012,No,,,Statistically rigorous framework for fusing multiple remote sensing datasets at different resolutions,Computationally demanding at very high resolution; fixed-rank approximation trades accuracy for scalability
1. Statistical / geostatistical interpolation,Application,OI applied to Mediterranean Sea SST,10.1016/j.rse.2016.01.019,123,2016,No,,,,
1. Statistical / geostatistical interpolation,Method,Spatio-temporal data fusion for very large RS datasets,10.1080/00401706.2013.831774,68,2013,No,,,Designed to scale statistical fusion methods to very large remote-sensing archives,Approximations needed for scalability may reduce local accuracy
1. Statistical / geostatistical interpolation,Method,Robust Fixed Rank Kriging for SST completeness/accuracy,10.1109/TGRS.2015.2416351,26,2015,No,,,Scales kriging to very large remote-sensing datasets via low-rank approximation,Approximation may lose fine-scale spatial detail; DOI/publication unverified here
1. Statistical / geostatistical interpolation,Method,Optimal interpolation (Objective analysis of meteorological fields),10.1002/qj.49709239320,25,1966,No,,,"Classical, well-established method with a clear statistical/error framework (minimum-variance estimation)","Assumes a known/stationary covariance function; computationally costly for large, high-resolution grids"
1. Statistical / geostatistical interpolation,Method,scale-changing technique,10.1016/j.ecolind.2013.10.008,22,2013,No,,,"Adapts spatial/temporal resolution to available data density, improving flexibility",Description too generic to assess rigorously without reading full text; possible loss of fine detail at coarser scales
1. Statistical / geostatistical interpolation,Method,New Mediterranean optimally interpolated pathfinder AVHRR SST,10.1016/j.rse.2015.04.025,20,2015,No,,,,
1. Statistical / geostatistical interpolation,Method,Optimal interpolation involving an anisotropic covariance model at the shore,10.1080/1755876X.2018.1552358,18,2018,No,,,,
1. Statistical / geostatistical interpolation,Method,Ocean color over the tropical Indian Ocean,10.1038/s41598-022-22087-2,17,2022,No,,"https://github.com/aditimodi/Gap_Free_Ocean_Color (data, not code)",Stochastic approach provides ensemble-based uncertainty estimates; data openly shared,Computationally expensive due to repeated simulations; code itself is not open source
1. Statistical / geostatistical interpolation,Method,Regression Residual Kriging (RRK),10.3390/rs14205265,12,2022,No,,,"Combines regression trend modeling with kriging of residuals, improving accuracy over plain kriging",Requires suitable auxiliary regression predictors; more complex to implement than ordinary kriging
1. Statistical / geostatistical interpolation,Method,spatiotemporal information gap filling,10.1016/j.jag.2024.103724,9,2024,No,--,-- ,Exploits joint spatial and temporal correlation structure for gap-filling,Method details/category unclear from title alone; verify architecture before citing
1. Statistical / geostatistical interpolation,Method,Bayesian Kriging densification,10.3390/rs18050675,0,2026,No,,,Provides principled uncertainty quantification; effective for sparse in-situ densification,Assumes stationary covariance structure; computationally expensive for large grids
